,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Dominique Bloodworth,LB,24,7.3,1,0,0,4,1,0,25.0,0.55,0.14,0.25,1.00,1.5,1.5,0.38,-0.5,-0.5,Matches
Desiree van Lunteren,RB,26,7.3,0,0,0,3,1,0,33.3,0.41,0.14,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
Sari van Veenendaal,GK,29,7.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Vivianne Miedema,AM,22,7.3,3,0,0,23,9,0,39.1,3.15,1.23,0.13,0.33,2.5,2.5,0.11,#ERROR!,#ERROR!,Matches
Jackie Groenen,CMR,24,7.2,1,0,0,4,1,0,25.0,0.56,0.14,0.25,1.00,0.6,0.6,0.14,#ERROR!,#ERROR!,Matches
Sherida Spitse,CML,29,7.1,0,0,0,10,2,4,20.0,1.41,0.28,0.00,0.00,0.3,0.3,0.03,-0.3,-0.3,Matches
Daniëlle van de Donk,RW,27,7.1,0,0,0,8,0,0,0.0,1.13,0.00,0.00,,0.5,0.5,0.06,-0.5,-0.5,Matches
Lieke Martens,LW,26,6.1,2,1,1,10,5,0,50.0,1.65,0.83,0.10,0.20,2.1,1.3,0.13,-0.1,-0.3,Matches
Stefanie van der Gragt,CBL,26,5.3,1,0,0,1,1,0,100.0,0.19,0.19,1.00,1.00,0.1,0.1,0.08,#ERROR!,#ERROR!,Matches
Anouk Dekker,CBR,32,2.8,1,0,0,1,1,0,100.0,0.35,0.35,1.00,1.00,0.2,0.2,0.19,#ERROR!,#ERROR!,Matches
Lineth Beerensteyn,FW,22,2.9,1,0,0,8,3,0,37.5,2.73,01.02,0.13,0.33,1.2,1.2,0.15,-0.2,-0.2,Matches
